k,seed,cond_auc,cond_lo,cond_hi,bf_auc,bf_lo,bf_hi
0,42,0.5485966735966736,0.46214464142095724,0.6402233513471177,0.5402806652806653,0.4516149140909033,0.635465542002171
5,42,0.5641891891891891,0.4748649089023848,0.6558880548547138,0.5623700623700624,0.4696906798077415,0.6566571275357516
5,43,0.5369022869022869,0.44402904616945715,0.636704628254103,0.5183212058212058,0.4261859883191908,0.620685441479729
5,44,0.5818607068607069,0.4879008230799858,0.6762039352714408,0.579002079002079,0.484818705974422,0.6751689032587029
10,42,0.5891372141372141,0.4989465541722475,0.6806833222860811,0.549506237006237,0.4567914873731965,0.6502705022084715
10,43,0.6088877338877339,0.5187516243885882,0.6943819367183073,0.5818607068607069,0.491618784072255,0.6753618897223318
10,44,0.5383316008316008,0.45311304292103777,0.6225356240981241,0.5019490644490644,0.4133071047647528,0.5994830729390265
25,42,0.543918918918919,0.45368624319259293,0.6385852798074388,0.5346933471933472,0.44422757400008955,0.6308764814811315
25,43,0.5281964656964657,0.44186000000000003,0.60898305372807,0.49532224532224534,0.40438537984392714,0.585871696854027
25,44,0.4962318087318087,0.40662735463312843,0.5870355835704627,0.47063409563409564,0.3825317718560075,0.5701338523925386
50,42,0.5311850311850311,0.4429200011391792,0.623418745258039,0.5110446985446986,0.42093353286228563,0.6064798966756514
50,43,0.549506237006237,0.4651541373698351,0.6329256210492276,0.5382016632016632,0.451402118823214,0.6216743068144669
50,44,0.5510654885654885,0.46484095033822803,0.6388839415669476,0.5322245322245323,0.44617910270455774,0.6291887055455092
100,42,0.5948544698544699,0.5152700864825747,0.6745493526743526,0.5552234927234927,0.47258306392103866,0.643505724835038
148,42,0.6181133056133056,0.5268842258354244,0.6978034178064306,0.6033004158004158,0.5111601077488859,0.685171879540831
