ssl_method,label_fraction,mean_auc,std_auc,n_seeds
byol,0.1,0.6540404040404041,0.04810339244025349,3
byol,0.25,0.6125541125541125,0.036496902010643414,3
byol,0.5,0.6423160173160173,0.03936851017895853,3
byol,1.0,0.674512987012987,0.021043685150652722,4
scratch,0.1,0.6531385281385281,0.06811091964205879,3
scratch,0.25,0.6203102453102453,0.031143330216676212,3
scratch,0.5,0.6421356421356421,0.04398899133570417,3
scratch,1.0,0.6693722943722944,0.015241435912177219,4
simclr,0.1,0.6462842712842712,0.0609393215688872,3
simclr,0.25,0.6044372294372294,0.03488476506771904,3
simclr,0.5,0.6462842712842712,0.03956635556182229,3
simclr,1.0,0.6847041847041847,0.025896876162943765,3
