model,split,metric,point,ci_low,ci_high,note,ci_width
"EfficientNet-B0 (5.3M, ImageNet)",test,Patient AUC,0.7773,0.6867,0.8676,,0.1809
"MobileNetV2 (3.4M, ImageNet)",test,Patient AUC,0.7743,0.6738,0.8672,,0.1934
"ResNet-18 (11.2M, ImageNet)",test,Patient AUC,0.698,0.5652,0.8189,,0.2537
"TinyConv BYOL (Conditional peak, no TTA)",test,Patient AUC (cond. peak),0.6481,0.5438,0.7831,,0.2393
"TinyConv BYOL (Conditional peak, TTA=8)",test,Patient AUC (cond. peak),0.6468,0.5343,0.7832,thresh=0.215 sweep-optimized on same split,0.2489
"TinyConv BYOL (Cond, val-thresh→test, TTA=8)",test,Patient AUC (fixed thresh),0.6036,0.4765,0.7268,val-optimal thresh=0.257,0.2503
"TinyConv BYOL (BF-only, no TTA)",test,Patient AUC,0.5904,0.4618,0.711,,0.2493
"TinyConv BYOL (BF-only, TTA=8)",test,Patient AUC,0.5847,0.4643,0.7072,,0.2429
"TinyConv BYOL (Always-fused, TTA=8)",test,Patient AUC,0.5842,0.4433,0.7269,,0.2837
"TinyConv BYOL (DF-only, TTA=8)",test,Patient AUC,0.5754,0.4411,0.706,,0.2649
"MobileNetV2 (3.4M, ImageNet)",val,Patient AUC,0.8074,0.6927,0.9053,,0.2126
"EfficientNet-B0 (5.3M, ImageNet)",val,Patient AUC,0.7971,0.6922,0.8883,,0.1961
"TinyConv BYOL (Conditional peak, TTA=8)",val,Patient AUC (cond. peak),0.763,0.6526,0.8832,thresh=0.257 sweep-optimized on same split,0.2305
"ResNet-18 (11.2M, ImageNet)",val,Patient AUC,0.7587,0.6384,0.8668,,0.2283
"TinyConv BYOL (Conditional peak, no TTA)",val,Patient AUC (cond. peak),0.7451,0.6363,0.868,,0.2317
"TinyConv BYOL (BF-only, TTA=8)",val,Patient AUC,0.7165,0.5833,0.8316,,0.2483
"TinyConv BYOL (Always-fused, TTA=8)",val,Patient AUC,0.7083,0.5889,0.8199,,0.231
"TinyConv BYOL (BF-only, no TTA)",val,Patient AUC,0.6921,0.5531,0.8181,,0.265
"TinyConv (scratch, Conditional peak)",val,Patient AUC (cond. peak),0.6705,0.5671,0.8108,,0.2437
"TinyConv (scratch, BF-only)",val,Patient AUC,0.6688,0.5318,0.8006,,0.2687
"TinyConv BYOL (DF-only, TTA=8)",val,Patient AUC,0.6385,0.5141,0.759,,0.2449
