epoch,val_patient_auc
1,0.6433982683982684
2,0.6352813852813853
3,0.6958874458874459
4,0.7077922077922078
5,0.6726190476190477
6,0.7316017316017316
7,0.704004329004329
8,0.7272727272727273
9,0.7310606060606061
10,0.7532467532467533
11,0.7451298701298701
12,0.7380952380952381
13,0.7343073593073594
14,0.7007575757575758
15,0.7332251082251082
16,0.7310606060606061
17,0.711038961038961
18,0.7196969696969697
19,0.7494588744588745
20,0.7251082251082251
21,0.7326839826839827
22,0.7180735930735931
23,0.7348484848484849
24,0.7305194805194806
25,0.7207792207792207
