epoch,loss,hard_loss,kl_loss,val_patient_auc
1,0.9983370564877987,0.8102649766951799,1.0789393770198028,0.5324675324675324
2,0.9557258297378818,0.779731597751379,1.0311519290941458,0.6336580086580087
3,0.9332139190907279,0.778321792682012,0.9995962623506784,0.637987012987013
4,0.9248485242327055,0.7687978191922108,0.9917273900161186,0.5346320346320347
5,0.9292425289750099,0.7828827865111331,0.9919681306928396,0.5059523809523809
6,0.9055666861434778,0.7520995400846004,0.9713383245592316,0.6277056277056277
7,0.8785781081145009,0.7358806716899077,0.9397341577957073,0.5557359307359307
8,0.8693009316921234,0.7359529778671762,0.9264500519881645,0.6731601731601732
9,0.8741793166846037,0.7443774809750417,0.929808679347237,0.6239177489177489
10,0.8579929020876685,0.7354091848246753,0.9105287787194053,0.6331168831168831
11,0.8606144736210505,0.7243958815621833,0.9189938694859544,0.6964285714285714
12,0.8549432068442305,0.7299491941618422,0.9085120701541504,0.6325757575757576
13,0.84213928754131,0.7312020317961773,0.8896838383128246,0.6482683982683982
14,0.8370766357208291,0.7164329821243882,0.8887810567393899,0.5714285714285714
15,0.8182152792190512,0.7130529585604867,0.8632848476991057,0.6672077922077922
16,0.816062666165332,0.7134901311558982,0.8600223331401745,0.6401515151515151
17,0.8188316412270069,0.6963773868046701,0.871312034316361,0.6433982683982684
18,0.8093677352493008,0.7019077305061122,0.8554220187167326,0.6396103896103896
19,0.8299047428493699,0.7106866988663872,0.8809981976325313,0.6428571428571429
20,0.8213112683345875,0.7099168750767907,0.8690517280871669,0.6612554112554112
21,0.8033990530918041,0.6955942497588694,0.8496011113747954,0.6623376623376623
22,0.8214303214723865,0.7118708736573657,0.8683843712011973,0.6877705627705628
23,0.7892822185531259,0.6658020789424578,0.8422022773884237,0.6574675324675324
24,0.7864096512397131,0.6932351877912879,0.8263415598000089,0.6904761904761905
25,0.7938335174694657,0.7025178978219628,0.8329687773560485,0.6558441558441559
26,0.7972988399366537,0.6952572573597232,0.8410309494162599,0.670995670995671
27,0.7980522432674965,0.6956966039724648,0.8419189453125,0.678030303030303
28,0.7854579174891114,0.686501300893724,0.8278678953647614,0.6774891774891775
29,0.7998349716265997,0.7062595634100338,0.839938722550869,0.6737012987012987
30,0.8084365045651793,0.7199004447708527,0.8463805308565497,0.6737012987012987
